Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SuiteLogin,Firefox 56.0,,2017-10-26 11:16:28,2017-10-26 11:19:56,"3m - 28,056s",PASSED
,,,,,,
Test Cases/Crear User,Firefox 56.0,,2017-10-26 11:16:29,2017-10-26 11:17:30,"1m - 1,095s",PASSED
openBrowser,Firefox 56.0,,2017-10-26 11:16:32,2017-10-26 11:16:57,"24,915s",PASSED
Statement - SignIn = new com.kms.katalon.core.testobject.TestObject(SignIn),Firefox 56.0,Creamos un nuevo TestObject para el boton Create Account\r\n,2017-10-26 11:16:57,2017-10-26 11:16:57,"0,037s",PASSED
"Statement - SignIn.addProperty(""xpath"", EQUALS, ""//a[contains(@href,'/user')][@title='Sign In']"", true)",Firefox 56.0,Decimos que este testobject contiene la propiedad Xpath que nos interesa,2017-10-26 11:16:57,2017-10-26 11:16:57,"0,070s",PASSED
click,Firefox 56.0,clickamos en el test Obect\r\n,2017-10-26 11:16:57,2017-10-26 11:16:59,"1,437s",PASSED
Statement - CreateAccount = new com.kms.katalon.core.testobject.TestObject(CreateAccount),Firefox 56.0,Creamos un nuevo TestObject para el boton Create Account\r\n,2017-10-26 11:16:59,2017-10-26 11:16:59,"0,005s",PASSED
"Statement - CreateAccount.addProperty(""xpath"", EQUALS, ""//a[contains(@href,'/createAccount')][@class='btn']"", true)",Firefox 56.0,Decimos que este testobject contiene la propiedad Xpath que nos interesa,2017-10-26 11:16:59,2017-10-26 11:16:59,"0,005s",PASSED
click,Firefox 56.0,clickamos en el test Obect\r\n,2017-10-26 11:16:59,2017-10-26 11:17:07,"7,948s",PASSED
"Statement - s = ""tlg-""",Firefox 56.0,,2017-10-26 11:17:07,2017-10-26 11:17:07,"0,002s",PASSED
"Statement - s += new java.util.Date().format(""yyyyMMdd"")",Firefox 56.0,,2017-10-26 11:17:07,2017-10-26 11:17:07,"0,037s",PASSED
"Statement - s += ""-""",Firefox 56.0,,2017-10-26 11:17:07,2017-10-26 11:17:07,"0,000s",PASSED
Statement - randomGenerator = new java.util.Random(),Firefox 56.0,,2017-10-26 11:17:07,2017-10-26 11:17:07,"0,022s",PASSED
Statement - hash = randomGenerator.nextInt(100),Firefox 56.0,,2017-10-26 11:17:07,2017-10-26 11:17:07,"0,009s",PASSED
Statement - s += hash,Firefox 56.0,,2017-10-26 11:17:07,2017-10-26 11:17:07,"0,003s",PASSED
