Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SuiteLogin,Firefox 56.0,,2017-10-26 10:33:45,2017-10-26 10:34:45,"59,937s",PASSED
,,,,,,
Test Cases/Crear User,Firefox 56.0,,2017-10-26 10:33:46,2017-10-26 10:34:45,"59,207s",PASSED
openBrowser,Firefox 56.0,,2017-10-26 10:33:48,2017-10-26 10:34:14,"26,105s",PASSED
Statement - SignIn = new com.kms.katalon.core.testobject.TestObject(SignIn),Firefox 56.0,Creamos un nuevo TestObject para el boton Create Account\r\n,2017-10-26 10:34:14,2017-10-26 10:34:14,"0,029s",PASSED
"Statement - SignIn.addProperty(""xpath"", EQUALS, ""//a[contains(@href,'/user')][@title='Sign In']"", true)",Firefox 56.0,Decimos que este testobject contiene la propiedad Xpath que nos interesa,2017-10-26 10:34:14,2017-10-26 10:34:14,"0,044s",PASSED
click,Firefox 56.0,clickamos en el test Obect\r\n,2017-10-26 10:34:14,2017-10-26 10:34:16,"1,192s",PASSED
Statement - CreateAccount = new com.kms.katalon.core.testobject.TestObject(CreateAccount),Firefox 56.0,Creamos un nuevo TestObject para el boton Create Account\r\n,2017-10-26 10:34:16,2017-10-26 10:34:16,"0,004s",PASSED
"Statement - CreateAccount.addProperty(""xpath"", EQUALS, ""//a[contains(@href,'/createAccount')][@class='btn']"", true)",Firefox 56.0,Decimos que este testobject contiene la propiedad Xpath que nos interesa,2017-10-26 10:34:16,2017-10-26 10:34:16,"0,002s",PASSED
click,Firefox 56.0,clickamos en el test Obect\r\n,2017-10-26 10:34:16,2017-10-26 10:34:22,"6,810s",PASSED
"Statement - s = ""tlg-""",Firefox 56.0,,2017-10-26 10:34:22,2017-10-26 10:34:22,"0,002s",PASSED
"Statement - s += new java.util.Date().format(""yyyyMMdd"")",Firefox 56.0,,2017-10-26 10:34:22,2017-10-26 10:34:22,"0,044s",PASSED
"Statement - s += ""-""",Firefox 56.0,,2017-10-26 10:34:22,2017-10-26 10:34:22,"0,002s",PASSED
Statement - randomGenerator = new java.util.Random(),Firefox 56.0,,2017-10-26 10:34:22,2017-10-26 10:34:22,"0,039s",PASSED
Statement - hash = randomGenerator.nextInt(100),Firefox 56.0,,2017-10-26 10:34:22,2017-10-26 10:34:22,"0,024s",PASSED
Statement - s += hash,Firefox 56.0,,2017-10-26 10:34:23,2017-10-26 10:34:23,"0,038s",PASSED
"Statement - s = s + ""@tlg.com""",Firefox 56.0,Hasta aqui generamos una cadena de formato tlg-fecha-hash@tlg.com\r\n,2017-10-26 10:34:23,2017-10-26 10:34:23,"0,003s",PASSED
