Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SuiteLogin,Firefox 56.0,,2017-10-26 10:25:58,2017-10-26 10:29:29,"3m - 31,491s",PASSED
,,,,,,
Test Cases/Crear User,Firefox 56.0,,2017-10-26 10:25:59,2017-10-26 10:27:01,"1m - 2,229s",PASSED
openBrowser,Firefox 56.0,,2017-10-26 10:26:01,2017-10-26 10:26:27,"25,742s",PASSED
Statement - SignIn = new com.kms.katalon.core.testobject.TestObject(SignIn),Firefox 56.0,Creamos un nuevo TestObject para el boton Create Account\r\n,2017-10-26 10:26:27,2017-10-26 10:26:27,"0,040s",PASSED
"Statement - SignIn.addProperty(""xpath"", EQUALS, ""//a[contains(@href,'/user')][@title='Sign In']"", true)",Firefox 56.0,Decimos que este testobject contiene la propiedad Xpath que nos interesa,2017-10-26 10:26:27,2017-10-26 10:26:27,"0,052s",PASSED
click,Firefox 56.0,clickamos en el test Obect\r\n,2017-10-26 10:26:27,2017-10-26 10:26:28,"1,289s",PASSED
Statement - CreateAccount = new com.kms.katalon.core.testobject.TestObject(CreateAccount),Firefox 56.0,Creamos un nuevo TestObject para el boton Create Account\r\n,2017-10-26 10:26:28,2017-10-26 10:26:28,"0,002s",PASSED
"Statement - CreateAccount.addProperty(""xpath"", EQUALS, ""//a[contains(@href,'/createAccount')][@class='btn']"", true)",Firefox 56.0,Decimos que este testobject contiene la propiedad Xpath que nos interesa,2017-10-26 10:26:28,2017-10-26 10:26:28,"0,001s",PASSED
click,Firefox 56.0,clickamos en el test Obect\r\n,2017-10-26 10:26:28,2017-10-26 10:26:36,"7,559s",PASSED
"Statement - s = ""tlg-""",Firefox 56.0,,2017-10-26 10:26:36,2017-10-26 10:26:36,"0,002s",PASSED
"Statement - s += new java.util.Date().format(""yyyyMMdd"")",Firefox 56.0,,2017-10-26 10:26:36,2017-10-26 10:26:36,"0,030s",PASSED
"Statement - s += ""-""",Firefox 56.0,,2017-10-26 10:26:36,2017-10-26 10:26:36,"0,004s",PASSED
Statement - randomGenerator = new java.util.Random(),Firefox 56.0,,2017-10-26 10:26:36,2017-10-26 10:26:36,"0,042s",PASSED
Statement - hash = randomGenerator.nextInt(100),Firefox 56.0,,2017-10-26 10:26:36,2017-10-26 10:26:36,"0,007s",PASSED
Statement - s += hash,Firefox 56.0,,2017-10-26 10:26:36,2017-10-26 10:26:36,"0,002s",PASSED
"Statement - s = s + ""@tlg.com""",Firefox 56.0,Hasta aqui generamos una cadena de formato tlg-fecha-hash@tlg.com\r\n,2017-10-26 10:26:36,2017-10-26 10:26:36,"0,003s",PASSED
Statement - mailGlobal = s,Firefox 56.0,,2017-10-26 10:26:36,2017-10-26 10:26:36,"0,034s",PASSED
Statement - mail = new com.kms.katalon.core.testobject.TestObject(mail),Firefox 56.0,Creamos un nuevo TestObject para el campo Email\r\n,2017-10-26 10:26:36,2017-10-26 10:26:36,"0,003s",PASSED
"Statement - mail.addProperty(""xpath"", EQUALS, ""//input[@id='userEmailField']"", true)",Firefox 56.0,Decimos que este testobject contiene la propiedad Xpath que nos interesa,2017-10-26 10:26:36,2017-10-26 10:26:36,"0,002s",PASSED
setText,Firefox 56.0,rellenamos  el test Obect\r\n,2017-10-26 10:26:36,2017-10-26 10:26:45,"8,888s",PASSED
Statement - Adreca1 = new com.kms.katalon.core.testobject.TestObject(Adreca1),Firefox 56.0,Creamos un nuevo TestObject para el campo Adreca test 1\r\n,2017-10-26 10:26:45,2017-10-26 10:26:45,"0,002s",PASSED
"Statement - Adreca1.addProperty(""xpath"", EQUALS, ""//input[@id='userAddress1Field']"", true)",Firefox 56.0,Decimos que este testobject contiene la propiedad Xpath que nos interesa,2017-10-26 10:26:45,2017-10-26 10:26:45,"0,001s",PASSED
setText,Firefox 56.0,rellenamos  el test Obect\r\n,2017-10-26 10:26:45,2017-10-26 10:26:46,"0,928s",PASSED
Statement - Adreca2 = new com.kms.katalon.core.testobject.TestObject(Adreca2),Firefox 56.0,Creamos un nuevo TestObject para el campo Adreca test 2\r\n,2017-10-26 10:26:46,2017-10-26 10:26:46,"0,001s",PASSED
"Statement - Adreca2.addProperty(""xpath"", EQUALS, ""//input[@id='userAddress2Field']"", true)",Firefox 56.0,Decimos que este testobject contiene la propiedad Xpath que nos interesa,2017-10-26 10:26:46,2017-10-26 10:26:46,"0,003s",PASSED
setText,Firefox 56.0,rellenamos  el test Obect\r\n,2017-10-26 10:26:46,2017-10-26 10:26:46,"0,848s",PASSED
Statement - Compania = new com.kms.katalon.core.testobject.TestObject(Compania),Firefox 56.0,Creamos un nuevo TestObject para el campo Compania\r\n,2017-10-26 10:26:46,2017-10-26 10:26:46,"0,002s",PASSED
"Statement - Compania.addProperty(""xpath"", EQUALS, ""//input[@id='userCompanyField']"", true)",Firefox 56.0,Decimos que este testobject contiene la propiedad Xpath que nos interesa,2017-10-26 10:26:46,2017-10-26 10:26:46,"0,001s",PASSED
setText,Firefox 56.0,rellenamos  el test Obect\r\n,2017-10-26 10:26:46,2017-10-26 10:26:47,"0,814s",PASSED
Statement - Name = new com.kms.katalon.core.testobject.TestObject(Name),Firefox 56.0,Creamos un nuevo TestObject para el campo Name\r\n,2017-10-26 10:26:47,2017-10-26 10:26:47,"0,002s",PASSED
"Statement - Name.addProperty(""xpath"", EQUALS, ""//input[@id='userFirstNameField']"", true)",Firefox 56.0,Decimos que este testobject contiene la propiedad Xpath que nos interesa,2017-10-26 10:26:47,2017-10-26 10:26:47,"0,001s",PASSED
setText,Firefox 56.0,rellenamos  el test Obect\r\n,2017-10-26 10:26:47,2017-10-26 10:26:48,"0,742s",PASSED
Statement - Apellido = new com.kms.katalon.core.testobject.TestObject(Apellido),Firefox 56.0,Creamos un nuevo TestObject para el campo Apellido\r\n,2017-10-26 10:26:48,2017-10-26 10:26:48,"0,001s",PASSED
"Statement - Apellido.addProperty(""xpath"", EQUALS, ""//input[@id='userLastNameField']"", true)",Firefox 56.0,Decimos que este testobject contiene la propiedad Xpath que nos interesa,2017-10-26 10:26:48,2017-10-26 10:26:48,"0,005s",PASSED
setText,Firefox 56.0,rellenamos  el test Obect\r\n,2017-10-26 10:26:48,2017-10-26 10:26:48,"0,404s",PASSED
Statement - Pass = new com.kms.katalon.core.testobject.TestObject(Pass),Firefox 56.0,Creamos un nuevo TestObject para el campo password\r\n,2017-10-26 10:26:48,2017-10-26 10:26:48,"0,001s",PASSED
"Statement - Pass.addProperty(""xpath"", EQUALS, ""//input[@id='userPasswordField']"", true)",Firefox 56.0,Decimos que este testobject contiene la propiedad Xpath que nos interesa,2017-10-26 10:26:48,2017-10-26 10:26:48,"0,000s",PASSED
setText,Firefox 56.0,rellenamos  el test Obect\r\n,2017-10-26 10:26:48,2017-10-26 10:26:49,"0,370s",PASSED
Statement - CPass = new com.kms.katalon.core.testobject.TestObject(CPass),Firefox 56.0,Creamos un nuevo TestObject para el campo Confirma Password\r\n,2017-10-26 10:26:49,2017-10-26 10:26:49,"0,001s",PASSED
"Statement - CPass.addProperty(""xpath"", EQUALS, ""//input[@id='userRetypePasswordField']"", true)",Firefox 56.0,Decimos que este testobject contiene la propiedad Xpath que nos interesa,2017-10-26 10:26:49,2017-10-26 10:26:49,"0,002s",PASSED
setText,Firefox 56.0,rellenamos  el test Obect\r\n,2017-10-26 10:26:49,2017-10-26 10:26:49,"0,565s",PASSED
Statement - Phone = new com.kms.katalon.core.testobject.TestObject(Phone),Firefox 56.0,Creamos un nuevo TestObject para el campo Phone\r\n,2017-10-26 10:26:49,2017-10-26 10:26:49,"0,001s",PASSED
"Statement - Phone.addProperty(""xpath"", EQUALS, ""//input[@id='userPhoneField']"", true)",Firefox 56.0,Decimos que este testobject contiene la propiedad Xpath que nos interesa,2017-10-26 10:26:49,2017-10-26 10:26:49,"0,002s",PASSED
setText,Firefox 56.0,rellenamos  el test Obect\r\n,2017-10-26 10:26:49,2017-10-26 10:26:50,"0,775s",PASSED
Statement - TermsOfUse = new com.kms.katalon.core.testobject.TestObject(TermsOfUse),Firefox 56.0,Creamos un nuevo TestObject para el checkbox de Politicas y terminos de Uso\r\n,2017-10-26 10:26:50,2017-10-26 10:26:50,"0,000s",PASSED
"Statement - TermsOfUse.addProperty(""xpath"", EQUALS, ""//input[@type='checkbox'][@class='validate-required-check'][ancestor::form[@id='userForm']]"", true)",Firefox 56.0,Decimos que este testobject contiene la propiedad Xpath que nos interesa,2017-10-26 10:26:50,2017-10-26 10:26:50,"0,000s",PASSED
check,Firefox 56.0,checkeamos  el test Obect\r\n,2017-10-26 10:26:50,2017-10-26 10:26:51,"0,833s",PASSED
Statement - Country1 = new com.kms.katalon.core.testobject.TestObject(Country1),Firefox 56.0,Creamos un nuevo TestObject para el input 1 de Country\r\n,2017-10-26 10:26:51,2017-10-26 10:26:51,"0,002s",PASSED
"Statement - Country1.addProperty(""xpath"", EQUALS, ""//select[@id='userCountryField']"", true)",Firefox 56.0,Decimos que este testobject contiene la propiedad Xpath que nos interesa,2017-10-26 10:26:51,2017-10-26 10:26:51,"0,001s",PASSED
selectOptionByLabel,Firefox 56.0,Seleccionamos la opcion por valor  el test Obect\r\n,2017-10-26 10:26:51,2017-10-26 10:26:52,"0,993s",PASSED
Statement - Country2 = new com.kms.katalon.core.testobject.TestObject(Country2),Firefox 56.0,Creamos un nuevo TestObject para el input 2 de Country\r\n,2017-10-26 10:26:52,2017-10-26 10:26:52,"0,002s",PASSED
"Statement - Country2.addProperty(""xpath"", EQUALS, ""//div[contains(@class, 'countriesSelector')]/select"", true)",Firefox 56.0,Decimos que este testobject contiene la propiedad Xpath que nos interesa,2017-10-26 10:26:52,2017-10-26 10:26:52,"0,000s",PASSED
selectOptionByLabel,Firefox 56.0,Seleccionamos la opcion por valor  el test Obect\r\n,2017-10-26 10:26:52,2017-10-26 10:26:53,"1,012s",PASSED
Statement - TercerArea = new com.kms.katalon.core.testobject.TestObject(TercerArea),Firefox 56.0,Creamos un nuevo TestObject\r\n,2017-10-26 10:26:53,2017-10-26 10:26:53,"0,000s",PASSED
"Statement - TercerArea.addProperty(""xpath"", EQUALS, ""//div[contains(@class, 'countriesSelector')]/div/select"", true)",Firefox 56.0,Decimos que este tebobject contiene la propiedad Xpath que nos interesa,2017-10-26 10:26:53,2017-10-26 10:26:53,"0,000s",PASSED
selectOptionByLabel,Firefox 56.0,Seleccionamos el valor deseado\r\n,2017-10-26 10:26:53,2017-10-26 10:26:55,"1,740s",PASSED
Statement - CuartaArea = new com.kms.katalon.core.testobject.TestObject(CuartaArea),Firefox 56.0,Se repite Hasta...,2017-10-26 10:26:55,2017-10-26 10:26:55,"0,006s",PASSED
"Statement - CuartaArea.addProperty(""xpath"", EQUALS, ""//div[contains(@class, 'countriesSelector')]/div/div/select"", true)",Firefox 56.0,,2017-10-26 10:26:55,2017-10-26 10:26:55,"0,002s",PASSED
selectOptionByLabel,Firefox 56.0,,2017-10-26 10:26:55,2017-10-26 10:26:56,"1,763s",PASSED
Statement - QuintaArea = new com.kms.katalon.core.testobject.TestObject(QuintaArea),Firefox 56.0,,2017-10-26 10:26:56,2017-10-26 10:26:56,"0,001s",PASSED
"Statement - QuintaArea.addProperty(""xpath"", EQUALS, ""//div[contains(@class, 'countriesSelector')]/div/div/div/select"", true)",Firefox 56.0,,2017-10-26 10:26:56,2017-10-26 10:26:56,"0,000s",PASSED
selectOptionByLabel,Firefox 56.0,Aqui!,2017-10-26 10:26:56,2017-10-26 10:26:59,"2,078s",PASSED
Statement - Acabar = new com.kms.katalon.core.testobject.TestObject(Acabar),Firefox 56.0,Creamos un nuevo TestObject para el boton de acabado\r\n,2017-10-26 10:26:59,2017-10-26 10:26:59,"0,000s",PASSED
"Statement - Acabar.addProperty(""xpath"", EQUALS, ""//input[@id='saveUserButton']"", true)",Firefox 56.0,Decimos que este testobject contiene la propiedad Xpath que nos interesa,2017-10-26 10:26:59,2017-10-26 10:26:59,"0,000s",PASSED
click,Firefox 56.0,clickamos en el test Obect\r\n,2017-10-26 10:26:59,2017-10-26 10:27:00,"1,249s",PASSED
closeBrowser,Firefox 56.0,,2017-10-26 10:27:00,2017-10-26 10:27:01,"1,258s",PASSED
,,,,,,
Test Cases/login,Firefox 56.0,,2017-10-26 10:27:01,2017-10-26 10:27:50,"49,029s",PASSED
openBrowser,Firefox 56.0,,2017-10-26 10:27:02,2017-10-26 10:27:24,"21,965s",PASSED
Statement - SignIn = new com.kms.katalon.core.testobject.TestObject(SignIn),Firefox 56.0,Creamos un nuevo TestObject para el boton Sign IN Account\r\n,2017-10-26 10:27:24,2017-10-26 10:27:24,"0,003s",PASSED
"Statement - SignIn.addProperty(""xpath"", EQUALS, ""//a[contains(@href,'/user')][@title='Sign In']"", true)",Firefox 56.0,Decimos que este testobject contiene la propiedad Xpath que nos interesa,2017-10-26 10:27:24,2017-10-26 10:27:24,"0,002s",PASSED
click,Firefox 56.0,clickamos en el test Obect\r\n,2017-10-26 10:27:24,2017-10-26 10:27:26,"1,309s",PASSED
Statement - mail = new com.kms.katalon.core.testobject.TestObject(mail),Firefox 56.0,Creamos un nuevo TestObject para el input Email en la pagina de login\r\n,2017-10-26 10:27:26,2017-10-26 10:27:26,"0,000s",PASSED
"Statement - mail.addProperty(""xpath"", EQUALS, ""//input[@id='smallLoginEmailField']"", true)",Firefox 56.0,Decimos que este testobject contiene la propiedad Xpath que nos interesa,2017-10-26 10:27:26,2017-10-26 10:27:26,"0,000s",PASSED
setText,Firefox 56.0,rellenamos en el test Obect email con la variable global mailGlobal\r\n,2017-10-26 10:27:26,2017-10-26 10:27:34,"7,980s",PASSED
Statement - Pass = new com.kms.katalon.core.testobject.TestObject(Pass),Firefox 56.0,Creamos un nuevo TestObject para el input Password en la pagina de login\r\n,2017-10-26 10:27:34,2017-10-26 10:27:34,"0,002s",PASSED
"Statement - Pass.addProperty(""xpath"", EQUALS, ""//input[@id='smallLoginPasswordField']"", true)",Firefox 56.0,Decimos que este testobject contiene la propiedad Xpath que nos interesa,2017-10-26 10:27:34,2017-10-26 10:27:34,"0,002s",PASSED
setText,Firefox 56.0,rellenamos en el test Obect pass con el pass que solemos usar: pass1\r\n,2017-10-26 10:27:34,2017-10-26 10:27:34,"0,773s",PASSED
Statement - Enter = new com.kms.katalon.core.testobject.TestObject(Enter),Firefox 56.0,Creamos un nuevo TestObject para el boton de Enter login\r\n,2017-10-26 10:27:34,2017-10-26 10:27:34,"0,001s",PASSED
"Statement - Enter.addProperty(""xpath"", EQUALS, ""//input[@id='smallLoginSubmit']"", true)",Firefox 56.0,Decimos que este testobject contiene la propiedad Xpath que nos interesa,2017-10-26 10:27:34,2017-10-26 10:27:34,"0,002s",PASSED
