Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SuiteLogin,Firefox 56.0,,2017-10-26 11:07:19,2017-10-26 11:10:54,"3m - 34,922s",PASSED
,,,,,,
Test Cases/Crear User,Firefox 56.0,,2017-10-26 11:07:20,2017-10-26 11:08:20,"1m - 0,065s",PASSED
openBrowser,Firefox 56.0,,2017-10-26 11:07:23,2017-10-26 11:07:48,"24,903s",PASSED
Statement - SignIn = new com.kms.katalon.core.testobject.TestObject(SignIn),Firefox 56.0,Creamos un nuevo TestObject para el boton Create Account\r\n,2017-10-26 11:07:48,2017-10-26 11:07:48,"0,038s",PASSED
"Statement - SignIn.addProperty(""xpath"", EQUALS, ""//a[contains(@href,'/user')][@title='Sign In']"", true)",Firefox 56.0,Decimos que este testobject contiene la propiedad Xpath que nos interesa,2017-10-26 11:07:48,2017-10-26 11:07:48,"0,035s",PASSED
click,Firefox 56.0,clickamos en el test Obect\r\n,2017-10-26 11:07:48,2017-10-26 11:07:49,"1,125s",PASSED
Statement - CreateAccount = new com.kms.katalon.core.testobject.TestObject(CreateAccount),Firefox 56.0,Creamos un nuevo TestObject para el boton Create Account\r\n,2017-10-26 11:07:49,2017-10-26 11:07:49,"0,000s",PASSED
"Statement - CreateAccount.addProperty(""xpath"", EQUALS, ""//a[contains(@href,'/createAccount')][@class='btn']"", true)",Firefox 56.0,Decimos que este testobject contiene la propiedad Xpath que nos interesa,2017-10-26 11:07:49,2017-10-26 11:07:49,"0,016s",PASSED
click,Firefox 56.0,clickamos en el test Obect\r\n,2017-10-26 11:07:49,2017-10-26 11:07:56,"7,251s",PASSED
"Statement - s = ""tlg-""",Firefox 56.0,,2017-10-26 11:07:56,2017-10-26 11:07:56,"0,004s",PASSED
"Statement - s += new java.util.Date().format(""yyyyMMdd"")",Firefox 56.0,,2017-10-26 11:07:56,2017-10-26 11:07:56,"0,037s",PASSED
"Statement - s += ""-""",Firefox 56.0,,2017-10-26 11:07:56,2017-10-26 11:07:56,"0,001s",PASSED
Statement - randomGenerator = new java.util.Random(),Firefox 56.0,,2017-10-26 11:07:56,2017-10-26 11:07:56,"0,009s",PASSED
Statement - hash = randomGenerator.nextInt(100),Firefox 56.0,,2017-10-26 11:07:56,2017-10-26 11:07:56,"0,005s",PASSED
Statement - s += hash,Firefox 56.0,,2017-10-26 11:07:56,2017-10-26 11:07:56,"0,003s",PASSED
"Statement - s = s + ""@tlg.com""",Firefox 56.0,Hasta aqui generamos una cadena de formato tlg-fecha-hash@tlg.com\r\n,2017-10-26 11:07:56,2017-10-26 11:07:56,"0,002s",PASSED
Statement - mailGlobal = s,Firefox 56.0,,2017-10-26 11:07:56,2017-10-26 11:07:56,"0,011s",PASSED
Statement - mail = new com.kms.katalon.core.testobject.TestObject(mail),Firefox 56.0,Creamos un nuevo TestObject para el campo Email\r\n,2017-10-26 11:07:56,2017-10-26 11:07:56,"0,003s",PASSED
