Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SuiteLogin,Firefox 56.0,,2017-10-27 11:16:54,2017-10-27 11:18:23,"1m - 28,711s",PASSED
,,,,,,
Test Cases/Crear User,Firefox 56.0,,2017-10-27 11:16:55,2017-10-27 11:18:23,"1m - 27,848s",PASSED
openBrowser,Firefox 56.0,,2017-10-27 11:16:59,2017-10-27 11:17:36,"36,938s",PASSED
Statement - SignIn = new com.kms.katalon.core.testobject.TestObject(SignIn),Firefox 56.0,Creamos un nuevo TestObject para el boton Create Account\r\n,2017-10-27 11:17:36,2017-10-27 11:17:36,"0,017s",PASSED
"Statement - SignIn.addProperty(""xpath"", EQUALS, ""//a[contains(@href,'/user')][@title='Sign In']"", true)",Firefox 56.0,Decimos que este testobject contiene la propiedad Xpath que nos interesa,2017-10-27 11:17:36,2017-10-27 11:17:36,"0,022s",PASSED
click,Firefox 56.0,clickamos en el test Obect\r\n,2017-10-27 11:17:36,2017-10-27 11:17:38,"1,596s",PASSED
Statement - CreateAccount = new com.kms.katalon.core.testobject.TestObject(CreateAccount),Firefox 56.0,Creamos un nuevo TestObject para el boton Create Account\r\n,2017-10-27 11:17:38,2017-10-27 11:17:38,"0,000s",PASSED
"Statement - CreateAccount.addProperty(""xpath"", EQUALS, ""//a[contains(@href,'/createAccount')][@class='btn']"", true)",Firefox 56.0,Decimos que este testobject contiene la propiedad Xpath que nos interesa,2017-10-27 11:17:38,2017-10-27 11:17:38,"0,010s",PASSED
click,Firefox 56.0,clickamos en el test Obect\r\n,2017-10-27 11:17:38,2017-10-27 11:17:48,"9,963s",PASSED
"Statement - s = ""tlg-""",Firefox 56.0,,2017-10-27 11:17:48,2017-10-27 11:17:48,"0,001s",PASSED
"Statement - s += new java.util.Date().format(""yyyyMMdd"")",Firefox 56.0,,2017-10-27 11:17:48,2017-10-27 11:17:48,"0,039s",PASSED
"Statement - s += ""-""",Firefox 56.0,,2017-10-27 11:17:48,2017-10-27 11:17:48,"0,001s",PASSED
Statement - randomGenerator = new java.util.Random(),Firefox 56.0,,2017-10-27 11:17:48,2017-10-27 11:17:48,"0,008s",PASSED
Statement - hash = randomGenerator.nextInt(100),Firefox 56.0,,2017-10-27 11:17:48,2017-10-27 11:17:48,"0,003s",PASSED
Statement - s += hash,Firefox 56.0,,2017-10-27 11:17:48,2017-10-27 11:17:48,"0,001s",PASSED
"Statement - s = s + ""@tlg.com""",Firefox 56.0,Hasta aqui generamos una cadena de formato tlg-fecha-hash@tlg.com\r\n,2017-10-27 11:17:48,2017-10-27 11:17:48,"0,001s",PASSED
Statement - mailGlobal = s,Firefox 56.0,,2017-10-27 11:17:48,2017-10-27 11:17:48,"0,014s",PASSED
Statement - mail = new com.kms.katalon.core.testobject.TestObject(mail),Firefox 56.0,Creamos un nuevo TestObject para el campo Email\r\n,2017-10-27 11:17:48,2017-10-27 11:17:48,"0,015s",PASSED
"Statement - mail.addProperty(""xpath"", EQUALS, ""//input[@id='userEmailField']"", true)",Firefox 56.0,Decimos que este testobject contiene la propiedad Xpath que nos interesa,2017-10-27 11:17:48,2017-10-27 11:17:48,"0,002s",PASSED
setText,Firefox 56.0,rellenamos  el test Obect\r\n,2017-10-27 11:17:48,2017-10-27 11:17:59,"10,778s",PASSED
